OrderID,RouteHub,Latitude,Longitude,Volume,Status,Reason,BaselineTime,DelayTime,DelayedTime,ETA,AltPath,FinancialImpact,OrderDate,SourceWarehouse
DLV-18051,"Dhanbad, JH",23.7957,86.4304,659,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-12249,"Durgapur, WB",23.5204,87.3119,698,Delayed,Congested Highway / Toll Queue,15.9,100,17.57,"Jun 6, 05:34 AM",NH Alt Routing,11670,2026-06-05,Patna HQ DC
DLV-79403,"Gaya, BR",24.7914,85.0002,381,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-56560,"Dhanbad, JH",23.7957,86.4304,205,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-14463,"Siliguri, WB",26.7271,88.3953,424,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-62097,"Kolkata, WB",22.5726,88.3639,666,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-31669,"Shillong, ML",25.5788,91.8933,288,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-53420,"Hazaribagh, JH",23.9932,85.3622,166,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-71108,"Durgapur, WB",23.5204,87.3119,184,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-25033,"Hazaribagh, JH",23.9932,85.3622,272,At Risk,Heavy Highway Traffic,12.6,51,13.45,"Jun 6, 01:27 AM",NH Alt Routing,2693,2026-06-05,Patna HQ DC
DLV-75565,"Jamshedpur, JH",22.8046,86.2029,160,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-11574,"Shillong, ML",25.5788,91.8933,289,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-44198,"Patna, BR",25.5941,85.1376,635,Delivered,Completed,0,0,0,Completed,Standard Routing,0,2026-06-05,Patna HQ DC
DLV-42964,"Kolkata, WB",22.5726,88.3639,545,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-52666,"Muzaffarpur, BR",26.1209,85.3647,752,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-26577,"Kharagpur, WB",22.3302,87.3237,251,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-80482,"Hazaribagh, JH",23.9932,85.3622,113,At Risk,Heavy Highway Traffic,12.6,22,12.97,"Jun 6, 12:58 AM",NH Alt Routing,637,2026-06-05,Patna HQ DC
DLV-97758,"Dhanbad, JH",23.7957,86.4304,267,At Risk,Heavy Highway Traffic,14.4,33,14.95,"Jun 6, 02:57 AM",NH Alt Routing,1718,2026-06-05,Patna HQ DC
DLV-57100,"Bhubaneswar, OD",20.2961,85.8245,179,In Transit,Clear & Optimal,34.4,0,34.4,"Jun 6, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-82534,"Siliguri, WB",26.7271,88.3953,283,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-16885,"Darbhanga, BR",26.1542,85.8918,769,In Transit,Clear & Optimal,10.4,0,10.4,"Jun 5, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-79061,"Siliguri, WB",26.7271,88.3953,403,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-72586,"Gaya, BR",24.7914,85.0002,454,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-79952,"Muzaffarpur, BR",26.1209,85.3647,479,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-97393,"Ranchi, JH",23.3441,85.3096,182,Delayed,Congested Highway / Toll Queue,14.5,103,16.22,"Jun 6, 04:13 AM",NH Alt Routing,4048,2026-06-05,Patna HQ DC
DLV-83627,"Bhagalpur, BR",25.2425,87.0135,523,Delayed,Congested Highway / Toll Queue,12.6,104,14.33,"Jun 6, 02:20 AM",NH Alt Routing,9407,2026-06-05,Patna HQ DC
DLV-36671,"Gaya, BR",24.7914,85.0002,271,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-32147,"Cuttack, OD",20.4625,85.883,397,At Risk,Heavy Highway Traffic,34,30,34.5,"Jun 6, 10:30 PM",NH Alt Routing,2147,2026-06-05,Patna HQ DC
DLV-17469,"Shillong, ML",25.5788,91.8933,186,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-41437,"Cuttack, OD",20.4625,85.883,709,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-99023,"Shillong, ML",25.5788,91.8933,138,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-74450,"Jamshedpur, JH",22.8046,86.2029,512,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-80164,"Cuttack, OD",20.4625,85.883,177,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-62403,"Durgapur, WB",23.5204,87.3119,504,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-48663,"Siliguri, WB",26.7271,88.3953,281,At Risk,Heavy Highway Traffic,17.6,53,18.48,"Jun 6, 06:29 AM",NH Alt Routing,2870,2026-06-05,Patna HQ DC
DLV-90940,"Hazaribagh, JH",23.9932,85.3622,108,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-73761,"Asansol, WB",23.674,86.952,599,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-73827,"Darbhanga, BR",26.1542,85.8918,509,At Risk,Heavy Highway Traffic,10.4,54,11.3,"Jun 5, 11:18 PM",NH Alt Routing,4771,2026-06-05,Patna HQ DC
DLV-62839,"Durgapur, WB",23.5204,87.3119,397,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-57336,"Dhanbad, JH",23.7957,86.4304,208,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-70957,"Dhanbad, JH",23.7957,86.4304,390,In Transit,Clear & Optimal,14.4,0,14.4,"Jun 6, 02:24 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-31710,"Ranchi, JH",23.3441,85.3096,110,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-49101,"Ranchi, JH",23.3441,85.3096,689,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-33217,"Bhagalpur, BR",25.2425,87.0135,605,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-69405,"Darbhanga, BR",26.1542,85.8918,570,In Transit,Clear & Optimal,10.4,0,10.4,"Jun 5, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-49176,"Kharagpur, WB",22.3302,87.3237,442,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-97749,"Jamshedpur, JH",22.8046,86.2029,241,At Risk,Heavy Highway Traffic,16.9,54,17.8,"Jun 6, 05:48 AM",NH Alt Routing,2600,2026-06-05,Patna HQ DC
DLV-74768,"Durgapur, WB",23.5204,87.3119,608,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-72710,"Gaya, BR",24.7914,85.0002,177,Delayed,Congested Highway / Toll Queue,10.5,113,12.38,"Jun 6, 12:23 AM",NH Alt Routing,4356,2026-06-05,Patna HQ DC
DLV-54261,"Darbhanga, BR",26.1542,85.8918,129,In Transit,Clear & Optimal,10.4,0,10.4,"Jun 5, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-64675,"Kharagpur, WB",22.3302,87.3237,536,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-50755,"Ranchi, JH",23.3441,85.3096,120,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-45648,"Siliguri, WB",26.7271,88.3953,670,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-36267,"Jamshedpur, JH",22.8046,86.2029,686,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-42708,"Muzaffarpur, BR",26.1209,85.3647,267,Delayed,Congested Highway / Toll Queue,10,117,11.95,"Jun 5, 11:57 PM",NH Alt Routing,6090,2026-06-05,Patna HQ DC
DLV-59631,"Shillong, ML",25.5788,91.8933,114,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-96819,"Kharagpur, WB",22.3302,87.3237,321,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-76943,"Guwahati, AS",26.1445,91.7362,347,In Transit,Clear & Optimal,37.7,0,37.7,"Jun 7, 01:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-20706,"Bhagalpur, BR",25.2425,87.0135,272,At Risk,Heavy Highway Traffic,12.6,47,13.38,"Jun 6, 01:23 AM",NH Alt Routing,2482,2026-06-05,Patna HQ DC
DLV-19897,"Durgapur, WB",23.5204,87.3119,307,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-25367,"Darbhanga, BR",26.1542,85.8918,406,In Transit,Clear & Optimal,10.4,0,10.4,"Jun 5, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-77140,"Patna, BR",25.5941,85.1376,292,Delivered,Completed,0,0,0,Completed,Standard Routing,0,2026-06-05,Patna HQ DC
DLV-47470,"Durgapur, WB",23.5204,87.3119,281,In Transit,Clear & Optimal,15.9,0,15.9,"Jun 6, 03:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-62100,"Cuttack, OD",20.4625,85.883,443,In Transit,Clear & Optimal,34,0,34,"Jun 6, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-85054,"Guwahati, AS",26.1445,91.7362,451,At Risk,Heavy Highway Traffic,37.7,44,38.43,"Jun 7, 02:26 AM",NH Alt Routing,3505,2026-06-05,Patna HQ DC
DLV-27653,"Puri, OD",19.8134,85.8315,375,In Transit,Clear & Optimal,35.6,0,35.6,"Jun 6, 11:36 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-12126,"Guwahati, AS",26.1445,91.7362,723,At Risk,Heavy Highway Traffic,37.7,51,38.55,"Jun 7, 02:33 AM",NH Alt Routing,6143,2026-06-05,Patna HQ DC
DLV-89071,"Guwahati, AS",26.1445,91.7362,284,At Risk,Heavy Highway Traffic,37.7,36,38.3,"Jun 7, 02:18 AM",NH Alt Routing,1966,2026-06-05,Patna HQ DC
DLV-28611,"Dhanbad, JH",23.7957,86.4304,226,At Risk,Heavy Highway Traffic,14.4,48,15.2,"Jun 6, 03:12 AM",NH Alt Routing,2203,2026-06-05,Patna HQ DC
DLV-31702,"Kolkata, WB",22.5726,88.3639,369,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-85532,"Asansol, WB",23.674,86.952,723,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-90414,"Jamshedpur, JH",22.8046,86.2029,386,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-64042,"Jamshedpur, JH",22.8046,86.2029,749,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-50966,"Kharagpur, WB",22.3302,87.3237,586,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-90735,"Bhubaneswar, OD",20.2961,85.8245,672,In Transit,Clear & Optimal,34.4,0,34.4,"Jun 6, 10:24 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-18262,"Asansol, WB",23.674,86.952,416,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-80048,"Bhagalpur, BR",25.2425,87.0135,225,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-82287,"Guwahati, AS",26.1445,91.7362,382,Delayed,Congested Highway / Toll Queue,37.7,74,38.93,"Jun 7, 02:56 AM",NH Alt Routing,5128,2026-06-05,Patna HQ DC
DLV-42472,"Jamshedpur, JH",22.8046,86.2029,179,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-52656,"Gaya, BR",24.7914,85.0002,420,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-65334,"Jamshedpur, JH",22.8046,86.2029,526,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-13634,"Muzaffarpur, BR",26.1209,85.3647,753,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-22648,"Kolkata, WB",22.5726,88.3639,489,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-70756,"Muzaffarpur, BR",26.1209,85.3647,765,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-88723,"Puri, OD",19.8134,85.8315,309,At Risk,Heavy Highway Traffic,35.6,51,36.45,"Jun 7, 12:27 AM",NH Alt Routing,2976,2026-06-05,Patna HQ DC
DLV-47124,"Bhagalpur, BR",25.2425,87.0135,501,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-33743,"Patna, BR",25.5941,85.1376,280,Delivered,Completed,0,0,0,Completed,Standard Routing,0,2026-06-05,Patna HQ DC
DLV-98705,"Jamshedpur, JH",22.8046,86.2029,497,Delayed,Congested Highway / Toll Queue,16.9,66,18,"Jun 6, 06:00 AM",NH Alt Routing,5712,2026-06-05,Patna HQ DC
DLV-60934,"Ranchi, JH",23.3441,85.3096,239,Delayed,Congested Highway / Toll Queue,14.5,106,16.27,"Jun 6, 04:16 AM",NH Alt Routing,5072,2026-06-05,Patna HQ DC
DLV-63908,"Asansol, WB",23.674,86.952,516,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-56277,"Siliguri, WB",26.7271,88.3953,623,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-99230,"Durgapur, WB",23.5204,87.3119,755,Delayed,Congested Highway / Toll Queue,15.9,114,17.8,"Jun 6, 05:48 AM",NH Alt Routing,14279,2026-06-05,Patna HQ DC
DLV-15675,"Muzaffarpur, BR",26.1209,85.3647,380,Delayed,Congested Highway / Toll Queue,10,87,11.45,"Jun 5, 11:27 PM",NH Alt Routing,6003,2026-06-05,Patna HQ DC
DLV-88742,"Muzaffarpur, BR",26.1209,85.3647,553,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-82774,"Muzaffarpur, BR",26.1209,85.3647,206,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-31917,"Kolkata, WB",22.5726,88.3639,303,In Transit,Clear & Optimal,18.7,0,18.7,"Jun 6, 06:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-96467,"Gaya, BR",24.7914,85.0002,223,Delayed,Congested Highway / Toll Queue,10.5,83,11.88,"Jun 5, 11:53 PM",NH Alt Routing,3772,2026-06-05,Patna HQ DC
DLV-82824,"Jamshedpur, JH",22.8046,86.2029,615,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-13334,"Kharagpur, WB",22.3302,87.3237,706,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-54866,"Ranchi, JH",23.3441,85.3096,321,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-90659,"Muzaffarpur, BR",26.1209,85.3647,371,In Transit,Clear & Optimal,10,0,10,"Jun 5, 10:00 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-99101,"Puri, OD",19.8134,85.8315,201,In Transit,Clear & Optimal,35.6,0,35.6,"Jun 6, 11:36 PM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-49437,"Shillong, ML",25.5788,91.8933,753,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-53942,"Shillong, ML",25.5788,91.8933,211,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-69879,"Asansol, WB",23.674,86.952,701,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-35485,"Hazaribagh, JH",23.9932,85.3622,791,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-46136,"Jamshedpur, JH",22.8046,86.2029,574,In Transit,Clear & Optimal,16.9,0,16.9,"Jun 6, 04:54 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-23161,"Siliguri, WB",26.7271,88.3953,454,In Transit,Clear & Optimal,17.6,0,17.6,"Jun 6, 05:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-24325,"Patna, BR",25.5941,85.1376,325,Delivered,Completed,0,0,0,Completed,Standard Routing,0,2026-06-05,Patna HQ DC
DLV-22074,"Hazaribagh, JH",23.9932,85.3622,564,In Transit,Clear & Optimal,12.6,0,12.6,"Jun 6, 12:36 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-55984,"Guwahati, AS",26.1445,91.7362,493,In Transit,Clear & Optimal,37.7,0,37.7,"Jun 7, 01:42 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-17560,"Kharagpur, WB",22.3302,87.3237,527,In Transit,Clear & Optimal,19.3,0,19.3,"Jun 6, 07:18 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-30919,"Shillong, ML",25.5788,91.8933,109,In Transit,Clear & Optimal,38.5,0,38.5,"Jun 7, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-97452,"Kharagpur, WB",22.3302,87.3237,200,At Risk,Heavy Highway Traffic,19.3,52,20.17,"Jun 6, 08:10 AM",NH Alt Routing,2184,2026-06-05,Patna HQ DC
DLV-41700,"Muzaffarpur, BR",26.1209,85.3647,466,Delayed,Congested Highway / Toll Queue,10,101,11.68,"Jun 5, 11:41 PM",NH Alt Routing,8272,2026-06-05,Patna HQ DC
DLV-64391,"Cuttack, OD",20.4625,85.883,591,Delayed,Congested Highway / Toll Queue,34,107,35.78,"Jun 6, 11:47 PM",NH Alt Routing,10770,2026-06-05,Patna HQ DC
DLV-79978,"Ranchi, JH",23.3441,85.3096,557,In Transit,Clear & Optimal,14.5,0,14.5,"Jun 6, 02:30 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-58380,"Asansol, WB",23.674,86.952,244,In Transit,Clear & Optimal,15.1,0,15.1,"Jun 6, 03:06 AM",Standard Routing,0,2026-06-05,Patna HQ DC
DLV-53750,"Gaya, BR",24.7914,85.0002,515,In Transit,Clear & Optimal,10.5,0,10.5,"Jun 5, 10:30 PM",Standard Routing,0,2026-06-05,Patna HQ DC
